title,synopsis,genres,episodes,score,characters
NARUTO,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. <br><br>
Shunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. <br><br>
(Source: MAL Rewrite)","Action, Adventure, Comedy, Drama, Fantasy, Supernatural",220.0,79,"Sagi, Minato Namikaze, Kimimaro Kaguya, Genzou, Genma Shiranui, Shigure, Shibire, Orochimaru, Sazanami, Kuromaru, Zabuza Momochi, Akamaru, Guruko, Naruto Uzumaki, Sasuke Uchiha, Gaara, Hiruzen Sarutobi, Shibi Aburame, Ebisu, Itachi Uchiha, Rasa, Kakashi Hatake, Mizuki Touji, Seimei, Tenten"
ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>
<b>*This includes following special episodes:</b><br>
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>
- Team Formation! Save Chopper (Episode 542)<br>
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>
- 20th Anniversary! Special Romance Dawn (Episode 907)","Action, Adventure, Comedy, Drama, Fantasy",,88,"Lucci Rob, Tajio, Koala, Hatchan, Enel, Hancock Boa, Sabo, Dragon, Calgara, Salcho Achino, Daddy Masterson, Ace Portgas, Shiryuu, Kuzan, Nezumi, Reik, Whetton, Tiger Fisher, Klabautermann, Cindry Victoria, Sarquiss, Chimney, Sandersonia Boa, Dr. Kobato, Usopp"
Tennis no Ouji-sama,"Echizen Ryoma is a young tennis prodigy who has won 4 consecutive tennis championships but who constantly lies in the shadow of his father, a former pro tennis player. He joins the Seishun Gakuen junior highschool, one of the best tennis schools in Japan, and there along with his teamates he learns to find his own type of tennis in an attempt to defeat his biggest obstacle of all: his father as well as himself.
<br><br>
(Source: Anime News Network)","Action, Comedy, Sports",178.0,75,"Shuusuke Fuji, Hajime Mizuki, Takahisa Kajimoto, Gakuto Mukahi, Kachirou Katou, Bunta Marui, Youhei Tanaka, Jirou Akutagawa, Ryoma Echizen, Eiji Kikumaru, Ryou Kisarazu, Choutarou Ohtori, Keigo Atobe, Kiyosumi Sengoku, Sakuno Ryuuzaki, Akira Kamio, Takeshi Momoshiro, Yuushi Oshitari, Ichiuma Kita, Kunimitsu Tezuka, Akaya Kirihara, Tarou Sakaki, Jackal Kuwahara, Kyousuke Uchimura, Jin Akutsu"
Ring ni Kakero 1,"In order to fulfill their dead father's wish, the siblings, Kiku Takane and Ryuuji Takane aim for the champion title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuuji, will concentrate on the role of the boxer and learn the Boomerang Hook technique. His battle with many rivals has led to the growth and maturity of Ryuuji. The junior high boxing tournament has began and Ryuuji will be fighting his arch-rival, Jun Kenzaki. The battle begins.
<br><br>
(Source: Anime News Network)","Action, Sports",12.0,60,"Ryuuji Takane, Jun Kenzaki, Ishimatsu Katori, Takeshi Kawai, Führer Scorpion, Kiku Takane, Black Shaft, Kazuki Shinatora, Takako Kawai, Helga, Masami Kurumada, Napoleon Baroa, Shinatora's Father, Sachiko Kimura, Mickey, Futaba Shinatora, Chiyo Takane, Referee"
School Rumble,"Tsukamoto Tenma is an ordinary 2nd year high school student who has fallen in love with one of her classmates, Karasuma Ooji. However, currently she is unable to confess her feelings to him. To make things worse, she found out that Karasuma is transferring to another school in a year. On the other hand, Tenma's other classmate, Harima Kenji (who is a delinquent) is also in love with Tenma. Not being able to confess his feelings, Harima gets depressed day by day.<br><br>
(Source: Anime News Network)","Comedy, Romance, Slice of Life",26.0,76,"Masakazu Tougou, Kouriyama, Eri Sawachika, Pyotr, Lala Gonzalez, Yakumo Tsukamoto, Junko Tonami, Genkai Gotou, Kouji Yakushamaru, Kenji Harima, Tenma Tsukamoto, Tae Anegasaki, Itoko Osakabe, Akira Takano, Kazuya Tanaka, Mikoto Suou, Tsumugi Yuuki, Jirou Yoshidayama, Kentarou Nara, Harry McKenzie, Fuyuki Takeichi, Oji Karasuma, Megumi Sagano, Karen Ichijou, Sarah Adiemus"
Sunabouzu,"The Great Kanto Desert is a miserable place. It’s also the home of hero-for-hire Desert Punk, the closest thing to a good guy the wasteland’s got. He’s known as the best man for any job, but his reputation is undone by his raging hormones when curvy Junko uses her double-D charms to double-cross him. With debt hanging over his head, Desert Punk sets out to salvage his name. <br><br>
(Source: Crunchyroll)","Action, Adventure, Comedy, Ecchi, Sci-Fi",24.0,68,"Taiko Koizumi, Amagumo, Makoto Kawazu, Tamehiko Kawano, Kanta Mizuno, Natsuko Kawaguchi, Mariko, Mitsuru Koidemizu, Haruo Kawaguchi, Akio Kawaguchi, Mugenya, Junko Asagiri, Stryker, Kaoru Kaizuka, Fuyuo Kawaguchi, Narrator"
TEXHNOLYZE,"In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to satisfy an enraged fight promoter. On the brink of death he is taken in by a young woman doctor and used as a guinea pig for the next evolution of Texhnolyze. With his new limbs, Ichise is taken under the wing of Oonishi, a powerful leader of Organ, an organization with some hold on Lux. As Ichise is drawn deeper into a war for territorial control of the city, he learns of his possible future from the young girl prophet Ran, who guides him from the shadows in his darkest times. With the explosion of the warfare, Ichise must uncover the truth about Lux and fight for his survival as he realizes his destiny.
<br><br>
(Source: Anime News Network)","Action, Drama, Psychological, Sci-Fi",22.0,76,"Motoharu Kimata, Ran, Shinji, Toyama Haruhiko, Kohakura, Keigo Oonishi, Eriko Kaneda, Yoko Ryoko, Yoshii Kazuho, Ichise, Haru, Zushi, Kano, Tatsuya Sakimura, Michiko Hirota"
Trinity Blood,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.","Action, Drama, Horror, Sci-Fi, Supernatural",24.0,67,"Dietrich von Lohengrin, Peter, Radu Barvon, Wendy, Angelica, William Walter Wordsworth, Esther Blanchett, Caterina Sforza, Virgil Walsh, Agnes de Watteau, Ion Fortuna, Isaak Fernand von Kämpfer, Elise Wasmeyer, Seth Nightroad, Noélle Bor, Cain Nightroad, Hercules Tres Iqus, Vanessa Walsh, Astharoshe Aslan, Abel Nightroad, Kate Scott, Enderle Koutza, Alessandro XVIII, Francesco di Medici, Hugue de Watteau"
Yakitate!! Japan,"Kazuma Azuma wants to make bread. Not just any kind of bread, though. He wants to make a bread that represents Japan itself and can stand toe-to-toe with rice as a national food. Thanks to his legendary ""Hands of the Sun,"" unnaturally warm hands that allow dough to ferment faster, Kazuma's bread is like a slice of Heaven.<br>
<br>
And when the Pantasia Rookie Competition arrives, everyone will get a taste of his skill! Along with his friend Kawachi (who's only in it for the dough), he’ll go up against koala karate masters, Harvard bread scientists, samurai with rolling-pin swords, and more! Can Kazuma create bread like naan other and bake his way to glory, or should he quit before he's toast?<br>
<br>
(Source: Right Stuf)",Comedy,69.0,75,"Pierrot Bolneze, Monica Adenauer, Megumi Kimura, Takumi Tsubozuka, Katsuo Umino, Yuuko Motohashi, Sophie Balzac Kirisaki, Go Chimatsuri, Narumi Shizuto, Sylvan Kirisaki, Miki Norihei, Shigeru Kanmuri, Ryou Kuroyanagi, Inaho Azuma, Ken Matsushiro, Leonhart XIV, Haijima, Masanobu Tsutsumi, Brad Kidd, Yuuichi Kirisaki, Spencer Henry, Kyousuke Kawachi, Kazuma Azuma, Kaede Matsushiro, Tsukino Azusagawa"
Zipang,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942&mdash;The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.
<br><br>
(Source: Anime News Network)","Action, Sci-Fi",26.0,72,"Kouhei Oguri, Takumi Kusaka, Yosuke Kadomatsu, Masayuki Kikuchi, Saburou Umezu"
Shin Seiki Evangelion,"In the year 2015, the Angels, huge, tremendously powerful, alien war machines, appear in Tokyo for the second time. The only hope for Mankind's survival lies in the Evangelion, a humanoid fighting machine developed by NERV, a special United Nations agency. Capable of withstanding anything the Angels can dish out, the Evangelion's one drawback lies in the limited number of people able to pilot them. Only a handful of teenagers, all born fourteen years ago, nine months after the Angels first appeared, are able to interface with the Evangelion. One such teenager is Shinji Ikari, whose father heads the NERV team that developed and maintains the Evangelion. Thrust into a maelstrom of battle and events that he does not understand, Shinji is forced to plumb the depths of his own inner resources for the courage and strength to not only fight, but to survive, or risk losing everything. <br><br>
(Source: AniDB)<br>
<br>
 <i>Note: Later releases include edited versions of Episodes 21-24 called the ""Director's Cut"" with some visual editing and adding extra scenes that appeared in the theatrical recap 'Death'.</i>","Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",26.0,83,"Touji Suzuhara, Misato Katsuragi, Ryouji Kaji, Yui Ikari, Pen Pen, Rei Ayanami, Kaworu Nagisa, Shigeru Aoba, Ritsuko Akagi, Asuka Langley Souryuu, Shinji Ikari, Naoko Akagi, Maya Ibuki, Gendou Ikari, Hikari Horaki, Makoto Hyuuga, Kohzou Fuyutsuki, Shiro Tokita, Kensuke Aida, Kyouko Zeppelin Souryuu, Keel Lorentz, Narrator"
Shin Seiki Evangelion Movie: Shi to Shinsei,"Compilation recap movie for the series <i>Shin Seiki Evangelion.</i> Due to the struggling production of the movie 'End of Evangelion' delaying the film a month before it was set to release, this film was announced to 'hold fans over'.<br><br>

During the early 21st century a meteorite crashed into Antarctica. After scientists went to study the crash a gigantic explosion followed, classified as the 'Second Impact'. Shinji Ikari is a fourteen year-old boy who has come to Toyko3, a city that also serves as a fortress, to meet up with his father who left him many years ago. The city also happens to be under siege by monstrous creatures called 'Angels' at the time of his arrival. Somehow Shinji finds himself in Evangelion Unit 01, and manages to synchronize with the giant robot. Shinji is told to become its permanent pilot, and is thrown into combat as the city's last defense for fighting off the angels. However, as Shinji fights, he begins to realize the truth behind the Angels, the Second Impact, man's struggle against God and what he truly is afraid of. <br><br>
(Source: Anime News Network)<br><br>

<i>Note: Exists in several versions: (with most appearing on the Japanese 2015 Blu-ray Boxset)<br>
• <b>Evangelion: DEATH & REBIRTH</b>, released theatrically on March 15, 1997 - 2-part feature, the first 2/3rds titled 'Death' consisting of a recap of the TV series with new/re-drawn animation added in, and the later 1/3rd titled 'Rebirth' consisting of the first 28 minute rough cut of End of Evangelion.<br>
• <b>Death(True)</b>, aired on TV channel WOWOW on January 2, 1998 - re-edited version of 'Death' by director Masayuki, with most of the new animation cut (as it was moved to the ""Directors Cut"" of Episodes 21-24), but with some new shots added. Later released on the 'ARCHIVES OF EVANGELION' DVD Boxset.<br>
• <b>Death(True)²</b>, released on March 7, 1998 - a further edited down version of Death(True), but with some new animation added. Regarded as this film's 'definitive' release, this is the version opted to be licensed by Netflix.<br>
• <b>Revival of Evangelion</b>, released theatrically on March 8, 1998 - Theatrical double feature consisting of Death(True)² + 4 minute intermission + End of Evangelion.<br><br>
For simplicity's sake, we are only counting the first theatrical release in this entry.</i>","Drama, Mecha, Psychological, Sci-Fi",1.0,73,"Touji Suzuhara, Misato Katsuragi, Ryouji Kaji, Yui Ikari, Rei Ayanami, Kaworu Nagisa, Ritsuko Akagi, Asuka Langley Souryuu, Shinji Ikari, Naoko Akagi, Shigeru Aoba, Maya Ibuki, Gendou Ikari, Hikari Horaki, Makoto Hyuuga, Kohzou Fuyutsuki, Kensuke Aida, Kyouko Zeppelin Souryuu, Keel Lorentz, Pen Pen"
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni","NERV faces a brutal attack from SEELE, but with Asuka in a coma, and Shinji in a nervous breakdown, things soon turn into the surreal. This movie provides a concurrent ending to the final two episodes of the show <b>Neon Genesis Evangelion</b>.<br>
<br>
(Source: IMDb)","Action, Drama, Mecha, Psychological, Sci-Fi",1.0,85,"Misato Katsuragi, Ryouji Kaji, Yui Ikari, Rei Ayanami, Kaworu Nagisa, Ritsuko Akagi, Asuka Langley Souryuu, Shinji Ikari, Shigeru Aoba, Maya Ibuki, Gendou Ikari, Makoto Hyuuga, Kohzou Fuyutsuki, Kyouko Zeppelin Souryuu, Keel Lorentz, Pen Pen"
Kenpuu Denki Berserk,"Set during a time that very much resembles Europe during the Middle Ages, <i>Berserk</i> is a story of revenge set in the castle town of Midland. Recently, the town has seen the rise of a wicked king, who uses demonic minions to control and victimise his subjects.<br>
<br>
However, when a lone soldier enters the town calling himself the Black Swordsman and armed to the teeth, many sense that the king's days of unchecked oppression are over. Soon, the Black Swordsman is plying his trade by hunting down the king's evil servants, giving no quarter, and preparing to exact his vengeance on the king.<br>
<br>
(Source: MVM Entertainment)","Action, Adventure, Drama, Fantasy, Horror, Supernatural",25.0,84,"Griffith, Judeau, Gambino, Guts, Slan, Erica, Zodd, Rickert, General Boscogne, Bazuso, Charlotte Beatrix Marie Rhody Windam, Corkus, Void, Pippin, Casca, Godot, Adon Coborlwitz, Ubik, Midland no Ou, Conrad, Gaston, Foss, Midland no Ouhi, Julius, Lord Gennon"
GHOST IN THE SHELL: Koukaku Kidoutai,"2029: A female cybernetic government agent, Major Motoko Kusanagi, and the Internal Bureau of Investigations are hot on the trail of “The Puppet Master,” a mysterious and threatening computer virus capable of infiltrating human hosts. Together with her fellow agents from Section 9, Kusanagi embarks on a high-tech race against time to capture the omnipresent entity.<br>
<br>
(Source: Lionsgate Films)","Action, Psychological, Sci-Fi",1.0,80,"Togusa, Batou, Daisuke Aramaki, Nakamura, Motoko Kusanagi, Ishikawa, Project 2501"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"In the days before the Japanese Revolution, Hiko Seiijuro, a wandering master swordsman and hermit, encounters a bandit raid on a slave wagon. Hiko kills the raiding bandits in hopes of saving as many lives as possible, but only manages to spare one life from the massacre. Hiko leaves the child, advising him to go to the nearby village and have them take care of him. A few days later, as Hiko comes back to check upon the child he saved, he is shocked to see the child had created graves, both for the slaves he befriended and the bandits who killed them. Seeing potential in the young one, Hiko takes the child under his wing, names him Kenshin, meaning ""heart of sword,"" and teaches him about the art of swordsmanship under the Hiten Mitsuruugi Ryu.<br><br>
Struggling in a constant challenge with his ideal beliefs reflecting against the harshness of reality, Tsuiokuhen tells the melancholic and dark story of Himura Kenshin as one of the most feared assassins of the Japanese Revolution: the Hitokiri Battousai.<br><br>
[Written by MAL Rewrite]","Action, Drama, Romance",4.0,85,"Kogoro Katsura, Kenshin Himura, Toshizo Hijikata, Shinsaku Takasugi, Enishi Yukishiro, Tomoe Yukishiro, Hajime Saitou, Seijuurou Hiko, Souji Okita, Isami Kondo, Tatsumi, Iizuka"
Rurouni Kenshin: Meiji Kenkaku Romantan,"Himura Kenshin is a vagabond with a dark past and sunny disposition. Not a ronin but a rurouni, he was never a samurai, but an assassin of utmost skill in the Meiji restoration, who in the turning point of the war simply walked away. His travels lead him to Tokyo in the 11th year of the Meiji era, where he befriends a female Kendo master, a former thief, a brawler and a doctor all with their own secrets. Together they fight off the enemies surfacing from the dark past that Kenshin cannot escape. <br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Drama, Romance",94.0,79,"Makoto Shishio, Touma Sakaki, Kamatari Honjou, Shougo Amakusa, Yumi Komagata, Yahiko Myojin, Sanosuke Sagara, Tsubaki, Yutarou Tsukayama, Tae Sekihara, Tsubame Sanjou, Kenshin Himura, Arundo Akamatsu, Jinei Udoh, Megumi Takani, Gasuke, Kanryuu Takeda, Jinpuu, Shirojou, Iwanbou, Soujirou Seta, Hajime Saitou, Daigoro Okuma, Shura, Souzou Sagara"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta.
<br><br>
(Source: Anime News Network)","Action, Drama",1.0,71,"Shigure Takimi, Sanosuke Sagara, Kenshin Himura, Gentatsu Takatsuki, Toki Takatsuki, Hajime Saitou, Yahiko Myojin, Kaoru Kamiya, Suzume Gensai, Aritomo Yamagata, Toshiyoshi Kawaji, Ayame Gensai, Sadashirou Kajiki"
AKIRA,"It's the year 2019, thirty-one years have passed since the start of World War III. A top-secret child with amazing powers of the mind breaks free from custody and accidentally gets a motorcycle gang involved in the project. This incident triggers psychic powers within one of the gang members, Tetsuo, and he is taken by the army to be experimented on. His mind has been altered and is now on the path of war, seeking revenge on the society that once called him weak. <br><br>
(Source: FUNimation) ","Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",1.0,79,"Shoutarou Kaneda, Kei, Kaori, Kai, Tetsuo Shima, Shikishima Taisa, Yamagata, Kiyoko, Takashi, Masaru, Nezu, Miyako, Ryuusaku, Akira, Resistance Member"
